GET http://localhost:8090/ name=http://localhost:8090/ type=serv linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=11230 notes=3 sig=0xd0f35462
GET http://localhost:8090/wavsep/ name=wavsep type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1504 notes=2 sig=0x28f7836d
GET http://localhost:8090/wavsep/active/ name=active type=dir linked=yes browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=1022 notes=0 sig=0xbda3fb0e
GET http://localhost:8090/wavsep/active/LFI/ name=LFI type=dir linked=yes browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=1030 notes=0 sig=0xf60eefac
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-302Redirect/ name=LFI-Detection-Evaluation-GET-302Redirect type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=159467 notes=2 sig=0x81fd52c4
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-302Redirect// name= type=dir linked=no browsers=0 browser_used=FAST dup=0 code=200 len=159468 notes=1 sig=0xfffbffff
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-302Redirect/active/ name=active type=dir linked=maybe browsers=0 browser_used=FAST not_fetched
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-302Redirect/active/index-false.jsp name=index-false.jsp type=unknown linked=maybe browsers=0 browser_used=FAST not_fetched
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-302Redirect/active/index-lfi.jsp name=index-lfi.jsp type=unknown linked=maybe browsers=0 browser_used=FAST not_fetched
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-302Redirect/active/index-obsolete.jsp name=index-obsolete.jsp type=unknown linked=maybe browsers=0 browser_used=FAST not_fetched
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-302Redirect/active/index-redirect.jsp name=index-redirect.jsp type=unknown linked=maybe browsers=0 browser_used=FAST not_fetched
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-302Redirect/active/index-rfi.jsp name=index-rfi.jsp type=unknown linked=maybe browsers=0 browser_used=FAST not_fetched
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-302Redirect/active/index-sql.jsp name=index-sql.jsp type=unknown linked=maybe browsers=0 browser_used=FAST not_fetched
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-302Redirect/active/index-xss.jsp name=index-xss.jsp type=unknown linked=maybe browsers=0 browser_used=FAST not_fetched
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-302Redirect/Apache-Coyote%2F1.1/ name=Apache-Coyote/1.1 type=dir linked=no browsers=0 browser_used=FAST dup=0 code=400 len=0 notes=3 sig=0xfff9842a
