GET http://localhost:8090/ name=http://localhost:8090/ type=serv linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=11230 notes=3 sig=0xd0ef5401
GET http://localhost:8090/wavsep/ name=wavsep type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1504 notes=2 sig=0x28eb830c
GET http://localhost:8090/wavsep/active/ name=active type=dir linked=yes browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=1022 notes=0 sig=0xbdb7fb69
GET http://localhost:8090/wavsep/active/LFI/ name=LFI type=dir linked=yes browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=1030 notes=0 sig=0xef235e41
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/ name=LFI-Detection-Evaluation-GET-200Valid type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=158975 notes=2 sig=0x970dacf2
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/active/ name=active type=dir linked=maybe browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=1120 notes=0 sig=0xe846e4be
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/active/index-false.jsp name=index-false.jsp type=unknown linked=maybe browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=1150 notes=0 sig=0xffdfffff
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/active/index-lfi.jsp name=index-lfi.jsp type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=1146 notes=0 sig=0xffdfffff
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/active/index-obsolete.jsp name=index-obsolete.jsp type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=1156 notes=0 sig=0xffdfffff
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/active/index-redirect.jsp name=index-redirect.jsp type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=1156 notes=0 sig=0xffdfffff
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/active/index-rfi.jsp name=index-rfi.jsp type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=1146 notes=0 sig=0xffdfffff
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/active/index-sql.jsp name=index-sql.jsp type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=1146 notes=0 sig=0xffdfffff
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/active/index-xss.jsp name=index-xss.jsp type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=1146 notes=0 sig=0xffdfffff
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/passive/ name=passive type=dir linked=maybe browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=1122 notes=0 sig=0xec82de95
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/passive/index-info.jsp name=index-info.jsp type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=1150 notes=0 sig=0xffdfffff
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/passive/index-session.jsp name=index-session.jsp type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=1156 notes=0 sig=0xffdfffff
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/Case01-LFI-FileClass-FilenameContext-Unrestricted-OSPath-DefaultFullInput-AnyPathReq-Read.jsp name=Case01-LFI-FileClass-FilenameContext-Unrestricted-OSPath-DefaultFullInput-AnyPathReq-Read.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1886 notes=2 sig=0x9ce91b2e
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/Case01-LFI-FileClass-FilenameContext-Unrestricted-OSPath-DefaultFullInput-AnyPathReq-Read.jsp?target=/root/apache-tomcat-8.0.27/webapps/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/content.ini name=target type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=4340 notes=4 sig=0xfc479dfa
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/Case02-LFI-FileClass-FilenameContext-Unrestricted-FileDirective-DefaultFullInput-AnyPathReq-Read.jsp name=Case02-LFI-FileClass-FilenameContext-Unrestricted-FileDirective-DefaultFullInput-AnyPathReq-Read.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1913 notes=2 sig=0x9ce81b2e
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/Case02-LFI-FileClass-FilenameContext-Unrestricted-FileDirective-DefaultFullInput-AnyPathReq-Read.jsp?target=file://root/apache-tomcat-8.0.27/webapps/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/content.ini name=target type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1669 notes=4 sig=0xfc469dfa
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/Case03-LFI-FileClass-FilenameContext-Unrestricted-OSPath-DefaultRelativeInput-AnyPathReq-Read.jsp name=Case03-LFI-FileClass-FilenameContext-Unrestricted-OSPath-DefaultRelativeInput-AnyPathReq-Read.jsp type=file linked=yes browsers=0 browser_used=FAST dup=1 code=200 len=1807 notes=2 sig=0x9ce81b2e
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/Case03-LFI-FileClass-FilenameContext-Unrestricted-OSPath-DefaultRelativeInput-AnyPathReq-Read.jsp?target=eclipse.ini name=target type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1660 notes=4 sig=0xfc469dfa
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/Case04-LFI-FileClass-FilenameContext-Unrestricted-FileDirective-DefaultRelativeInput-AnyPathReq-Read.jsp name=Case04-LFI-FileClass-FilenameContext-Unrestricted-FileDirective-DefaultRelativeInput-AnyPathReq-Read.jsp type=file linked=yes browsers=0 browser_used=FAST dup=1 code=200 len=1831 notes=2 sig=0x9ce81b2e
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/Case04-LFI-FileClass-FilenameContext-Unrestricted-FileDirective-DefaultRelativeInput-AnyPathReq-Read.jsp?target=file:/boot.ini name=target type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1681 notes=4 sig=0xfc469dfa
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/Case05-LFI-FileClass-FilenameContext-Unrestricted-OSPath-DefaultInvalidInput-AnyPathReq-Read.jsp name=Case05-LFI-FileClass-FilenameContext-Unrestricted-OSPath-DefaultInvalidInput-AnyPathReq-Read.jsp type=file linked=yes browsers=0 browser_used=FAST dup=1 code=200 len=1899 notes=2 sig=0x9ce81b2e
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/Case05-LFI-FileClass-FilenameContext-Unrestricted-OSPath-DefaultInvalidInput-AnyPathReq-Read.jsp?target=/root/apache-tomcat-8.0.27/webapps/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Valid/none892j3kd.txt name=target type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1657 notes=4 sig=0xfc469dfa
