GET http://localhost:8090/ name=http://localhost:8090/ type=serv linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=11230 notes=3 sig=0xd0825479
GET http://localhost:8090/wavsep/ name=wavsep type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1504 notes=2 sig=0x28888374
GET http://localhost:8090/wavsep/active/ name=active type=dir linked=yes browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=1022 notes=0 sig=0xbdd0fb11
GET http://localhost:8090/wavsep/active/LFI/ name=LFI type=dir linked=yes browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=1030 notes=0 sig=0x2975d25a
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/ name=LFI-Detection-Evaluation-GET-200Identical type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=159999 notes=2 sig=0xe2144b14
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical// name= type=dir linked=no browsers=0 browser_used=FAST dup=0 code=200 len=160000 notes=1 sig=0xfffbffff
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/active/ name=active type=dir linked=maybe browsers=0 browser_used=FAST not_fetched
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/active/index-false.jsp name=index-false.jsp type=unknown linked=maybe browsers=0 browser_used=FAST not_fetched
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/active/index-lfi.jsp name=index-lfi.jsp type=unknown linked=maybe browsers=0 browser_used=FAST not_fetched
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/active/index-obsolete.jsp name=index-obsolete.jsp type=unknown linked=maybe browsers=0 browser_used=FAST not_fetched
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/active/index-redirect.jsp name=index-redirect.jsp type=unknown linked=maybe browsers=0 browser_used=FAST not_fetched
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/active/index-rfi.jsp name=index-rfi.jsp type=unknown linked=maybe browsers=0 browser_used=FAST not_fetched
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/active/index-sql.jsp name=index-sql.jsp type=unknown linked=maybe browsers=0 browser_used=FAST not_fetched
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/active/index-xss.jsp name=index-xss.jsp type=unknown linked=maybe browsers=0 browser_used=FAST not_fetched
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/files/ name=files type=dir linked=no browsers=0 browser_used=FAST dup=0 code=404 len=1126 notes=2 sig=0xfffab114
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/passive/ name=passive type=dir linked=maybe browsers=0 browser_used=FAST not_fetched
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/passive/index-info.jsp name=index-info.jsp type=unknown linked=maybe browsers=0 browser_used=FAST not_fetched
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/passive/index-session.jsp name=index-session.jsp type=unknown linked=maybe browsers=0 browser_used=FAST not_fetched
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/skip%2Ffish%3B/ name=skip/fish; type=dir linked=no browsers=0 browser_used=FAST dup=0 code=400 len=0 notes=2 sig=0xfffad75f
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/skip%2Ffish%3B.ini/ name=skip/fish;.ini type=dir linked=no browsers=0 browser_used=FAST dup=1 code=400 len=0 notes=2 sig=0xfffad75f
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/skip%2Ffish%3B.jsp/ name=skip/fish;.jsp type=dir linked=no browsers=0 browser_used=FAST dup=1 code=400 len=0 notes=2 sig=0xfffad75f
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/skip%2Ffish%3B.txt/ name=skip/fish;.txt type=dir linked=no browsers=0 browser_used=FAST dup=1 code=400 len=0 notes=2 sig=0xfffad75f
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/text%2Fhtml/ name=text/html type=dir linked=no browsers=0 browser_used=FAST dup=1 code=400 len=0 notes=2 sig=0xfffad75f
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/text%2Fhtml.ini/ name=text/html.ini type=dir linked=no browsers=0 browser_used=FAST dup=1 code=400 len=0 notes=2 sig=0xfffad75f
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/text%2Fhtml.jsp/ name=text/html.jsp type=dir linked=no browsers=0 browser_used=FAST dup=1 code=400 len=0 notes=2 sig=0xfffad75f
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/text%2Fhtml.txt/ name=text/html.txt type=dir linked=no browsers=0 browser_used=FAST dup=1 code=400 len=0 notes=2 sig=0xfffad75f
GET http://localhost:8090/wavsep/active/LFI/LFI-Detection-Evaluation-GET-200Identical/Case01-LFI-FileClass-FilenameContext-Unrestricted-OSPath-DefaultFullInput-AnyPathReq-Read.jsp name=Case01-LFI-FileClass-FilenameContext-Unrestricted-OSPath-DefaultFullInput-AnyPathReq-Read.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1910 notes=2 sig=0x9ce61b2e
