POST /wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error-Experimental/Case01-InjectionInInsertValues-String-BinaryDeliberateRuntimeError-With200Errors.jsp HTTP/1.1
Host: localhost:8090
Accept-Encoding: gzip
Connection: keep-alive
User-Agent: Mozilla/5.0 SF/2.10b
Range: bytes=0-399999
Referer: http://localhost/
Cookie: JSESSIONID=6FCC526EE023CB414F3A5C7CE224F5F7
Content-Type: application/x-www-form-urlencoded
Content-Length: 34

msg=readme&target='skip'''"fish"""
