GET http://localhost:8090/ name=http://localhost:8090/ type=serv linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=11230 notes=3 sig=0x6500bf01
GET http://localhost:8090/wavsep/ name=wavsep type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1504 notes=2 sig=0x29588356
GET http://localhost:8090/wavsep/active/ name=active type=dir linked=yes browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=1022 notes=0 sig=0x954aa9a3
GET http://localhost:8090/wavsep/active/SQL-Injection/ name=SQL-Injection type=dir linked=yes browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=1050 notes=0 sig=0x6308c6d9
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-GET-200Identical/ name=SInjection-Detection-Evaluation-GET-200Identical type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=11090 notes=2 sig=0xda511d3b
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-GET-200Identical/Case01-InjectionInView-Numeric-Blind-200ValidResponseWithDefaultOnException.jsp name=Case01-InjectionInView-Numeric-Blind-200ValidResponseWithDefaultOnException.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1105 notes=2 sig=0x28bff0ae
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-GET-200Identical/Case01-InjectionInView-Numeric-Blind-200ValidResponseWithDefaultOnException.jsp?transactionId=132 name=transactionId type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=642 notes=1 sig=0xeb151f1f
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-GET-200Identical/Case01-InjectionInView-Numeric-Blind-200ValidResponseWithDefaultOnException.jsp?transactionId=%2032 name=\x2032 type=value linked=no browsers=0 browser_used=FAST dup=0 code=200 len=548 notes=1 sig=0xff7fffff
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-GET-200Identical/Case01-InjectionInView-Numeric-Blind-200ValidResponseWithDefaultOnException.jsp?transactionId=%2033 name=\x2033 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=548 notes=1 sig=0xff7fffff
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-GET-200Identical/Case01-InjectionInView-Numeric-Blind-200ValidResponseWithDefaultOnException.jsp?transactionId=%2034 name=\x2034 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=548 notes=1 sig=0xff7fffff
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-GET-200Identical/Case01-InjectionInView-Numeric-Blind-200ValidResponseWithDefaultOnException.jsp?transactionId=%2035 name=\x2035 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=548 notes=1 sig=0xff7fffff
