GET http://localhost:8090/ name=http://localhost:8090/ type=serv linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=11230 notes=4 sig=0x4cacdc1b
GET http://localhost:8090/wavsep/ name=wavsep type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1504 notes=2 sig=0x2a718139
GET http://localhost:8090/wavsep/active/ name=active type=dir linked=yes browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=1022 notes=0 sig=0x9663abce
GET http://localhost:8090/wavsep/active/SQL-Injection/ name=SQL-Injection type=dir linked=yes browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=1050 notes=0 sig=0xedbd5c8c
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/ name=SInjection-Detection-Evaluation-POST-500Error type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=19625 notes=2 sig=0x58b5f820
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/text%2Fhtml%3Bcharset%3DISO-8859-1/ name=text/html;charset=ISO-8859-1 type=dir linked=no browsers=0 browser_used=FAST dup=0 code=400 len=0 notes=3 sig=0xfff9842a
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/text%2Fhtml%3Bcharset%3DISO-8859-1.jsp/ name=text/html;charset=ISO-8859-1.jsp type=dir linked=no browsers=0 browser_used=FAST dup=1 code=400 len=0 notes=3 sig=0xfff9842a
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case01-InjectionInLogin-String-LoginBypass-WithErrors.jsp name=Case01-InjectionInLogin-String-LoginBypass-WithErrors.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=644 notes=2 sig=0x5ad4cd2d
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case01-InjectionInLogin-String-LoginBypass-WithErrors.jsp DATA:username=Smith&password=skipfish name=password type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=347 notes=3 sig=0x28f78809
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case01-InjectionInLogin-String-LoginBypass-WithErrors.jsp DATA:username=Smith&password=skipfish name=username type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=347 notes=3 sig=0x28f78809
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case02-InjectionInSearch-String-UnionExploit-WithErrors.jsp name=Case02-InjectionInSearch-String-UnionExploit-WithErrors.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=582 notes=2 sig=0x4ba13647
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case02-InjectionInSearch-String-UnionExploit-WithErrors.jsp DATA:msg=1 name=msg type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=466 notes=3 sig=0xbfd4b9b
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case02-InjectionInSearch-String-UnionExploit-WithErrors.jsp DATA:msg=Hello name=Hello type=value linked=no browsers=0 browser_used=FAST dup=0 code=200 len=647 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case02-InjectionInSearch-String-UnionExploit-WithErrors.jsp DATA:msg=SInjection-Detection-Evaluation-POST-500Error name=SInjection-Detection-Evaluation-POST-500Error type=value linked=no browsers=0 browser_used=FAST dup=0 code=200 len=582 notes=1 sig=0xff7fffff
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case03-InjectionInCalc-String-BooleanExploit-WithErrors.jsp name=Case03-InjectionInCalc-String-BooleanExploit-WithErrors.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=611 notes=2 sig=0x529887c9
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case03-InjectionInCalc-String-BooleanExploit-WithErrors.jsp DATA:username=Smith name=username type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=350 notes=3 sig=0x28f78809
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case04-InjectionInUpdate-String-CommandInjection-WithErrors.jsp name=Case04-InjectionInUpdate-String-CommandInjection-WithErrors.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=590 notes=2 sig=0x4bb53649
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case04-InjectionInUpdate-String-CommandInjection-WithErrors.jsp DATA:msg=1 name=msg type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=351 notes=3 sig=0xf6c75cbc
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case04-InjectionInUpdate-String-CommandInjection-WithErrors.jsp DATA:msg=Case01-InjectionInLogin-String-LoginBypass-WithErrors name=Case01-InjectionInLogin-String-LoginBypass-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=0 code=500 len=1270 notes=2 sig=0xff7ed75d
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case04-InjectionInUpdate-String-CommandInjection-WithErrors.jsp DATA:msg=Case02-InjectionInSearch-String-UnionExploit-WithErrors name=Case02-InjectionInSearch-String-UnionExploit-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1270 notes=2 sig=0xff7ed75d
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case04-InjectionInUpdate-String-CommandInjection-WithErrors.jsp DATA:msg=Case03-InjectionInCalc-String-BooleanExploit-WithErrors name=Case03-InjectionInCalc-String-BooleanExploit-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1270 notes=2 sig=0xff7ed75d
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case04-InjectionInUpdate-String-CommandInjection-WithErrors.jsp DATA:msg=Case04-InjectionInUpdate-String-CommandInjection-WithErrors name=Case04-InjectionInUpdate-String-CommandInjection-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1270 notes=2 sig=0xff7ed75d
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case04-InjectionInUpdate-String-CommandInjection-WithErrors.jsp DATA:msg=Case06-InjectionInView-Numeric-PermissionBypass-WithErrors name=Case06-InjectionInView-Numeric-PermissionBypass-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1270 notes=2 sig=0xff7ed75d
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case04-InjectionInUpdate-String-CommandInjection-WithErrors.jsp DATA:msg=Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors name=Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1270 notes=2 sig=0xff7ed75d
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case04-InjectionInUpdate-String-CommandInjection-WithErrors.jsp DATA:msg=Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors name=Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1270 notes=2 sig=0xff7ed75d
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case04-InjectionInUpdate-String-CommandInjection-WithErrors.jsp DATA:msg=Case09-InjectionInUpdate-Numeric-CommandInjection-WithErrors name=Case09-InjectionInUpdate-Numeric-CommandInjection-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1270 notes=2 sig=0xff7ed75d
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case04-InjectionInUpdate-String-CommandInjection-WithErrors.jsp DATA:msg=Case11-InjectionInView-Date-PermissionBypass-WithErrors name=Case11-InjectionInView-Date-PermissionBypass-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1270 notes=2 sig=0xff7ed75d
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case04-InjectionInUpdate-String-CommandInjection-WithErrors.jsp DATA:msg=Case12-InjectionInSearch-Date-UnionExploit-WithErrors name=Case12-InjectionInSearch-Date-UnionExploit-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1270 notes=2 sig=0xff7ed75d
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case04-InjectionInUpdate-String-CommandInjection-WithErrors.jsp DATA:msg=Case13-InjectionInCalc-Date-BooleanExploit-WithErrors name=Case13-InjectionInCalc-Date-BooleanExploit-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1270 notes=2 sig=0xff7ed75d
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case04-InjectionInUpdate-String-CommandInjection-WithErrors.jsp DATA:msg=Case14-InjectionInUpdate-Date-CommandInjection-WithErrors name=Case14-InjectionInUpdate-Date-CommandInjection-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1270 notes=2 sig=0xff7ed75d
