GET http://localhost:8090/ name=http://localhost:8090/ type=serv linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=11230 notes=4 sig=0x4e76dcd1
GET http://localhost:8090/wavsep/ name=wavsep type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1504 notes=2 sig=0x28db81ff
GET http://localhost:8090/wavsep/active/ name=active type=dir linked=yes browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=1022 notes=0 sig=0x94cdab08
GET http://localhost:8090/wavsep/active/SQL-Injection/ name=SQL-Injection type=dir linked=yes browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=1050 notes=0 sig=0x2160c051
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/ name=SInjection-Detection-Evaluation-POST-200Error type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=19749 notes=2 sig=0x7ae6e713
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/text%2Fhtml/ name=text/html type=dir linked=no browsers=0 browser_used=FAST dup=0 code=400 len=0 notes=2 sig=0xfffad75f
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/text%2Fhtml.jsp/ name=text/html.jsp type=dir linked=no browsers=0 browser_used=FAST dup=1 code=400 len=0 notes=2 sig=0xfffad75f
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case01-InjectionInLogin-String-LoginBypass-With200Errors.jsp name=Case01-InjectionInLogin-String-LoginBypass-With200Errors.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=647 notes=2 sig=0x5adacd2d
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case01-InjectionInLogin-String-LoginBypass-With200Errors.jsp DATA:username=Smith&password=skipfish name=password type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=347 notes=2 sig=0x28f62a84
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case01-InjectionInLogin-String-LoginBypass-With200Errors.jsp DATA:username=Smith&password=skipfish name=username type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=347 notes=2 sig=0x28f62a84
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case02-InjectionInSearch-String-UnionExploit-With200Errors.jsp name=Case02-InjectionInSearch-String-UnionExploit-With200Errors.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=585 notes=2 sig=0x4ba03646
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case02-InjectionInSearch-String-UnionExploit-With200Errors.jsp DATA:msg=1 name=msg type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=466 notes=2 sig=0x2908aa05
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case02-InjectionInSearch-String-UnionExploit-With200Errors.jsp DATA:msg=Hello name=Hello type=value linked=no browsers=0 browser_used=FAST dup=0 code=200 len=647 notes=1 sig=0xff7fffff
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case03-InjectionInCalc-String-BooleanExploit-With200Errors.jsp name=Case03-InjectionInCalc-String-BooleanExploit-With200Errors.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=614 notes=2 sig=0x529987c9
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case03-InjectionInCalc-String-BooleanExploit-With200Errors.jsp DATA:username=Smith name=username type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=350 notes=2 sig=0x28f62a84
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case04-InjectionInUpdate-String-CommandInjection-With200Errors.jsp name=Case04-InjectionInUpdate-String-CommandInjection-With200Errors.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=593 notes=2 sig=0x4ba03645
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case04-InjectionInUpdate-String-CommandInjection-With200Errors.jsp DATA:msg=1 name=msg type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=351 notes=2 sig=0x28f62a84
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp name=Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=690 notes=2 sig=0x534307d5
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=msgid name=orderby type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=746 notes=3 sig=0x29fbb843
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=and name=and type=value linked=no browsers=0 browser_used=FAST dup=0 code=200 len=581 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=BY name=BY type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=580 notes=2 sig=0x429119f2
