Processed,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Tags
Successfully,Wed Jul 25 23:23:13 EDT 2018,GET,http://127.0.0.1:8090/wavsep/,200,OK,19,231,1504,Medium,SetCookie
Successfully,Wed Jul 25 23:23:13 EDT 2018,GET,http://127.0.0.1:8090/wavsep/index-active.jsp,200,OK,19,230,457,Medium,SetCookie
Successfully,Wed Jul 25 23:23:13 EDT 2018,GET,http://127.0.0.1:8090/wavsep,302,Found,6,127,0,,
Successfully,Wed Jul 25 23:23:13 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active,302,Found,8,134,0,,
Successfully,Wed Jul 25 23:23:13 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/DOM-XSS,302,Found,8,142,0,,
Successfully,Wed Jul 25 23:23:13 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/index-main.jsp,200,OK,8,148,680,Medium,
Successfully,Wed Jul 25 23:23:13 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/,404,Not Found,16,173,1022,Low,
Successfully,Wed Jul 25 23:23:13 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/DOM-XSS/DXSS-Detection-Evaluation-GET-Experimental,302,Found,8,185,0,,
Successfully,Wed Jul 25 23:23:13 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/DOM-XSS/DXSS-Detection-Evaluation-GET-Experimental/Case01-InjectionDirectlyInToDomXssSinkEval.jsp?userinput=textvalue,200,OK,13,127,334,Medium,Script
Successfully,Wed Jul 25 23:23:13 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/DOM-XSS/,404,Not Found,16,173,1038,Low,
Successfully,Wed Jul 25 23:23:13 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/index-xss.jsp,200,OK,7,149,1677,Medium,
Successfully,Wed Jul 25 23:23:13 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/index-sql.jsp,200,OK,12,149,2421,Medium,
Successfully,Wed Jul 25 23:23:13 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/DOM-XSS/DXSS-Detection-Evaluation-GET-Experimental/Case02-InjectionDirectlyInToDomXssSinkLocation.jsp?userinput=textvalue,200,OK,11,127,358,Medium,Script
Successfully,Wed Jul 25 23:23:13 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/index-lfi.jsp,200,OK,6,149,2678,Medium,
Successfully,Wed Jul 25 23:23:13 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/index-rfi.jsp,200,OK,17,149,2417,Medium,
Successfully,Wed Jul 25 23:23:13 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/index-redirect.jsp,200,OK,21,149,1388,Medium,
Successfully,Wed Jul 25 23:23:13 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/index-false.jsp,200,OK,17,149,1200,Medium,
Successfully,Wed Jul 25 23:23:13 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/DOM-XSS/DXSS-Detection-Evaluation-GET-Experimental/Case03-InjectionInToVariableBeingAssignedToDomXssSinkEval.jsp?userinput=textvalue,200,OK,18,127,377,Medium,Script
Successfully,Wed Jul 25 23:23:13 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/DOM-XSS/DXSS-Detection-Evaluation-GET-Experimental/,200,OK,7,149,2745,Medium,
Successfully,Wed Jul 25 23:23:13 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/DOM-XSS/DXSS-Detection-Evaluation-GET-Experimental/Case04-InjectionInToVariableBeingAssignedToDomXssSinkLocation.jsp?userinput=textvalue,200,OK,13,127,401,Medium,Script
Successfully,Wed Jul 25 23:23:13 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/DOM-XSS/DXSS-Detection-Evaluation-GET-Experimental/index.jsp,200,OK,9,149,2745,Medium,
